"album_name","track_name","line","lyric"
"Taylor Swift","Tim McGraw",1,"He said the way my blue eyes shined"
"Taylor Swift","Tim McGraw",2,"Put those Georgia stars to shame that night"
"Taylor Swift","Tim McGraw",3,"I said, ""That's a lie"""
"Taylor Swift","Tim McGraw",4,"Just a boy in a Chevy truck"
"Taylor Swift","Tim McGraw",5,"That had a tendency of gettin' stuck"
"Taylor Swift","Tim McGraw",6,"On backroads at night"
"Taylor Swift","Tim McGraw",7,"And I was right there beside him all summer long"
"Taylor Swift","Tim McGraw",8,"And then the time we woke up to find that summer gone"
"Taylor Swift","Tim McGraw",9,"But when you think Tim McGraw"
"Taylor Swift","Tim McGraw",10,"I hope you think my favorite song"
"Taylor Swift","Tim McGraw",11,"The one we danced to all night long"
"Taylor Swift","Tim McGraw",12,"The moon like a spotlight on the lake"
"Taylor Swift","Tim McGraw",13,"When you think happiness"
"Taylor Swift","Tim McGraw",14,"I hope you think that little black dress"
"Taylor Swift","Tim McGraw",15,"Think of my head on your chest"
"Taylor Swift","Tim McGraw",16,"And my old faded blue jeans"
"Taylor Swift","Tim McGraw",17,"When you think Tim McGraw"
"Taylor Swift","Tim McGraw",18,"I hope you think of me"
"Taylor Swift","Tim McGraw",19,"September saw a month of tears"
"Taylor Swift","Tim McGraw",20,"And thankin' God that you weren't here"
"Taylor Swift","Tim McGraw",21,"To see me like that"
"Taylor Swift","Tim McGraw",22,"But in a box beneath my bed"
"Taylor Swift","Tim McGraw",23,"Is a letter that you never read"
"Taylor Swift","Tim McGraw",24,"From three summers back"
"Taylor Swift","Tim McGraw",25,"It's hard not to find it all a little bittersweet"
"Taylor Swift","Tim McGraw",26,"And lookin' back on all of that, it's nice to believe"
"Taylor Swift","Tim McGraw",27,"When you think Tim McGraw"
"Taylor Swift","Tim McGraw",28,"I hope you think my favorite song"
"Taylor Swift","Tim McGraw",29,"The one we danced to all night long"
"Taylor Swift","Tim McGraw",30,"The moon like a spotlight on the lake"
"Taylor Swift","Tim McGraw",31,"When you think happiness"
"Taylor Swift","Tim McGraw",32,"I hope you think that little black dress"
"Taylor Swift","Tim McGraw",33,"Think of my head on your chest"
"Taylor Swift","Tim McGraw",34,"And my old faded blue jeans"
"Taylor Swift","Tim McGraw",35,"When you think Tim McGraw"
"Taylor Swift","Tim McGraw",36,"I hope you think of me"
"Taylor Swift","Tim McGraw",37,"And I'm back for the first time since then"
"Taylor Swift","Tim McGraw",38,"I'm standin' on your street"
"Taylor Swift","Tim McGraw",39,"And there's a letter left on your doorstep"
"Taylor Swift","Tim McGraw",40,"And the first thing that you'll read is:"
"Taylor Swift","Tim McGraw",41,"""When you think Tim McGraw"
"Taylor Swift","Tim McGraw",42,"I hope you think my favorite song"
"Taylor Swift","Tim McGraw",43,"Someday you'll turn your radio on"
"Taylor Swift","Tim McGraw",44,"I hope it takes you back to that place"""
"Taylor Swift","Tim McGraw",45,"When you think happiness"
"Taylor Swift","Tim McGraw",46,"I hope you think that little black dress"
"Taylor Swift","Tim McGraw",47,"Think of my head on your chest"
"Taylor Swift","Tim McGraw",48,"And my old faded blue jeans"
"Taylor Swift","Tim McGraw",49,"When you think Tim McGraw"
"Taylor Swift","Tim McGraw",50,"I hope you think of me"
"Taylor Swift","Tim McGraw",51,"Oh, think of me"
"Taylor Swift","Tim McGraw",52,"Mmmm"
"Taylor Swift","Tim McGraw",53,"He said the way my blue eyes shine"
"Taylor Swift","Tim McGraw",54,"Put those Georgia stars to shame that night"
"Taylor Swift","Tim McGraw",55,"I said, ""That's a lie"""
"Taylor Swift","Picture To Burn",1,"State the obvious, I didn't get my perfect fantasy"
"Taylor Swift","Picture To Burn",2,"I realize you love yourself more than you could ever love me"
"Taylor Swift","Picture To Burn",3,"So go and tell your friends that I'm obsessive and crazy"
"Taylor Swift","Picture To Burn",4,"That's fine, you won't mind if I say"
"Taylor Swift","Picture To Burn",5,"By the way"
"Taylor Swift","Picture To Burn",6,"I hate that stupid old pickup truck you never let me drive"
"Taylor Swift","Picture To Burn",7,"You're a redneck heartbreak who's really bad at lying"
"Taylor Swift","Picture To Burn",8,"So watch me strike a match on all my wasted time"
"Taylor Swift","Picture To Burn",9,"As far as I'm concerned, you're just another picture to burn"
"Taylor Swift","Picture To Burn",10,"There's no time for tears"
"Taylor Swift","Picture To Burn",11,"I'm just sitting here planning my revenge"
"Taylor Swift","Picture To Burn",12,"There's nothing stopping me"
"Taylor Swift","Picture To Burn",13,"From going out with all of your best friends"
"Taylor Swift","Picture To Burn",14,"And if you come around saying sorry to me"
"Taylor Swift","Picture To Burn",15,"My daddy's gonna show you how sorry you'll be"
"Taylor Swift","Picture To Burn",16,"'Cause I hate that stupid old pickup truck you never let me drive"
"Taylor Swift","Picture To Burn",17,"You're a redneck heartbreak who's really bad at lying"
"Taylor Swift","Picture To Burn",18,"So watch me strike a match on all my wasted time"
"Taylor Swift","Picture To Burn",19,"As far as I'm concerned, you're just another picture to burn"
